iter	Passed	Remaining
694	7961	3493
695	7971	3481
696	7981	3469
697	7991	3457
698	8002	3445
699	8011	3433
700	8022	3421
701	8032	3409
702	8042	3397
703	8052	3385
704	8064	3374
705	8074	3362
706	8084	3350
707	8094	3338
708	8106	3327
709	8116	3315
710	8130	3304
711	8143	3293
712	8153	3281
713	8162	3269
714	8172	3257
715	8182	3245
716	8193	3234
717	8205	3222
718	8215	3210
719	8226	3199
720	8238	3187
721	8252	3177
722	8266	3167
723	8279	3156
724	8291	3145
725	8304	3134
726	8316	3122
727	8328	3111
728	8339	3100
729	8351	3088
730	8365	3078
731	8380	3068
732	8392	3057
733	8408	3047
734	8421	3036
735	8436	3026
736	8452	3016
737	8468	3006
738	8479	2994
739	8490	2983
740	8501	2971
741	8511	2959
742	8522	2947
743	8532	2936
744	8542	2924
745	8552	2912
746	8563	2900
747	8573	2888
748	8584	2876
749	8592	2864
750	8602	2852
751	8612	2840
752	8622	2828
753	8633	2816
754	8644	2805
755	8654	2793
756	8664	2781
757	8674	2769
758	8686	2758
759	8697	2746
760	8708	2734
761	8718	2723
762	8728	2711
763	8738	2699
764	8750	2687
765	8760	2676
766	8770	2664
767	8780	2652
768	8790	2640
769	8799	2628
770	8810	2616
771	8821	2605
772	8833	2593
773	8845	2582
774	8856	2571
775	8866	2559
776	8876	2547
777	8886	2535
778	8896	2523
779	8906	2512
780	8916	2500
781	8928	2488
782	8939	2477
783	8948	2465
784	8960	2454
785	8971	2442
786	8981	2430
787	8991	2419
788	9002	2407
789	9012	2395
790	9024	2384
791	9033	2372
792	9043	2360
793	9053	2348
794	9064	2337
795	9074	2325
796	9084	2313
797	9094	2302
798	9106	2290
799	9117	2279
800	9127	2267
801	9137	2255
802	9147	2244
803	9158	2232
804	9168	2220
805	9178	2209
806	9189	2197
807	9200	2186
808	9210	2174
809	9220	2162
810	9230	2151
811	9240	2139
812	9252	2128
813	9263	2116
814	9273	2105
815	9283	2093
816	9293	2081
817	9305	2070
818	9315	2058
819	9325	2047
820	9336	2035
821	9352	2025
822	9369	2015
823	9381	2003
824	9394	1992
825	9410	1982
826	9428	1972
827	9446	1962
828	9458	1951
829	9467	1939
830	9475	1927
831	9487	1915
832	9497	1904
833	9507	1892
834	9519	1881
835	9529	1869
836	9538	1857
837	9548	1845
838	9559	1834
839	9569	1822
840	9579	1811
841	9589	1799
842	9599	1787
843	9610	1776
844	9620	1764
845	9630	1753
846	9642	1741
847	9654	1730
848	9664	1718
849	9674	1707
850	9686	1695
851	9698	1684
852	9709	1673
853	9720	1661
854	9731	1650
855	9743	1639
856	9754	1627
857	9764	1616
858	9774	1604
859	9784	1592
860	9795	1581
861	9804	1569
862	9814	1558
863	9824	1546
864	9835	1535
865	9845	1523
866	9857	1512
867	9867	1500
868	9877	1489
869	9887	1477
870	9897	1465
871	9907	1454
872	9918	1442
873	9927	1431
874	9938	1419
875	9949	1408
876	9961	1397
877	9971	1385
878	9983	1374
879	9994	1362
880	10006	1351
881	10017	1340
882	10029	1328
883	10039	1317
884	10051	1306
885	10062	1294
886	10073	1283
887	10084	1271
888	10095	1260
889	10105	1248
890	10115	1237
891	10125	1225
892	10135	1214
893	10147	1203
894	10158	1191
895	10168	1180
896	10177	1168
897	10187	1157
898	10198	1145
899	10210	1134
900	10220	1122
901	10230	1111
902	10240	1100
903	10250	1088
904	10260	1077
905	10271	1065
906	10281	1054
907	10293	1042
908	10303	1031
909	10313	1019
910	10324	1008
911	10334	997
912	10346	985
913	10357	974
914	10367	963
915	10378	951
916	10388	940
917	10398	928
918	10411	917
919	10425	906
920	10437	895
921	10448	883
922	10461	872
923	10478	861
924	10492	850
925	10506	839
926	10518	828
927	10531	817
928	10543	805
929	10557	794
930	10572	783
931	10587	772
932	10601	761
933	10618	750
934	10631	739
935	10647	728
936	10662	716
937	10672	705
938	10683	694
939	10694	682
940	10706	671
941	10717	659
942	10728	648
943	10738	637
944	10749	625
945	10759	614
946	10769	602
947	10780	591
948	10790	579
949	10800	568
950	10810	557
951	10820	545
952	10832	534
953	10842	522
954	10855	511
955	10865	500
956	10875	488
957	10885	477
958	10897	465
959	10908	454
960	10920	443
961	10930	431
962	10942	420
963	10952	409
964	10962	397
965	10973	386
966	10983	374
967	10994	363
968	11005	352
969	11015	340
970	11025	329
971	11035	317
972	11045	306
973	11055	295
974	11065	283
975	11075	272
976	11086	260
977	11096	249
978	11107	238
979	11116	226
980	11128	215
981	11138	204
982	11146	192
983	11156	181
984	11167	170
985	11177	158
986	11188	147
987	11198	136
988	11210	124
989	11222	113
990	11232	102
991	11244	90
992	11253	79
993	11263	67
994	11273	56
995	11282	45
996	11291	33
997	11301	22
998	11311	11
999	11322	0
